Enki ID,Date d'échantillonage,Identification,Type échantillon,Depth (m),MC total Analyses,Résultat MC total,ET Variance,(LOD < x < LOQ),SD (LOD < x < LOQ),MC Ind Analyses,CYN,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),ANA-a,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),dmMC-RR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-RR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-YR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-HtyR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),dmMC-LR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-HiIR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-WR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LA,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LY,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LW,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LF,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),HANA-a,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),AP-A,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),AP-B,SD,(LOD < x < LOQ),SD (LOD < x < LOQ)
18943,2019-06-12,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-14,106.6,13.5,,,2020-08-19,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,<49,,<15,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
18943,2019-06-12,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2020-08-03,121.9,5.3,,,2020-07-21,<5,,<2,,<2,,<1,,<1,,<1,,<1,,<1,,72.8,1.2,,,<4,,<1,,61,3.7,,,<1,,<1,,<2,,<1,,<5,,<1,,<1,,<1,,<4,,<1,,<1,,<1,,<1,,<1,,<2,,<1,,<3,,<1,,31.6,2,,
18945,2019-06-19,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,411.1,47.4,,,2020-08-31,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,72.3,11.2,,,<88,,<27,,69,2.8,,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
18945,2019-06-19,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-14,220.6,60.8,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,49.4,6.2,,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
18945,2019-06-19,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2020-07-24,58.7,16.3,,,2020-07-21,<5,,<2,,<2,,<1,,<1,,<1,,<1,,<1,,56.4,1.9,,,<4,,<1,,<1,,<1,,<1,,<1,,<2,,<1,,<5,,<1,,<1,,<1,,<4,,<1,,<1,,<1,,<1,,<1,,<2,,<1,,<3,,<1,,<1,,<1,
18947,2019-07-05,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,934.6,86.8,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,502.5,30,,,44.7,3.9,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
18947,2019-07-05,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-14,375.4,72.9,,,2020-08-19,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,,,37.8,3.9,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
18947,2019-07-05,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2020-07-24,407.7,75.9,,,2020-07-21,<5,,<2,,<2,,<1,,<1,,<1,,<1,,<1,,<1,,<1,,<4,,<1,,368.8,9.4,,,39.9,2.9,,,<2,,<1,,<5,,<1,,<1,,<1,,<4,,<1,,<1,,<1,,<1,,<1,,<2,,<1,,<3,,<1,,<1,,<1,
16785,2019-07-10,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,863.2,65.1,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,453,22.9,,,,,8.8,1.1,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
16785,2019-07-10,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-14,455,6.8,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,<49,,<15,,,,19.2,1.7,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
