Date,Depth_m,Sample_Type,MC_total,CYN,ANA_a,dmMC_RR,MC_RR,MC_YR,MC_HtyR,MC_LR,dmMC_LR,MC_HiIR,MC_LY,MC_LW,HANA_a,AP_A,AP_B
2018-07-16,0.8,Extracellular,225,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2018-07-18,0.1,Extracellular,225,0,18,0,0,0,0,15,0,0,0,0,0,0,32
2018-07-18,0.8,Extracellular,373,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2018-07-18,2.8,Extracellular,387,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2018-07-24,0.1,Extracellular,157,0,0,0,0,0,0,15,0,0,0,0,0,0,38
2018-07-24,0.8,Extracellular,136,0,0,0,0,0,0,15,0,0,0,0,0,0,28
2018-07-25,0.1,Extracellular,142,0,0,0,0,0,0,15,0,0,0,0,0,0,52
2018-07-25,0.8,Extracellular,198,0,0,0,0,0,0,15,0,0,0,0,0,0,72
2018-07-30,0.1,Extracellular,217,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2018-07-30,0.8,Extracellular,218,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2018-07-31,0.1,Extracellular,122,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2018-07-31,0.8,Extracellular,124,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2018-08-08,0.1,Extracellular,174,41,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-08,0.8,Extracellular,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-09,0.1,Extracellular,113,0,0,0,0,0,0,15,0,0,0,0,0,0,29
2018-08-09,0.8,Extracellular,123,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2018-08-14,2.8,Extracellular,97,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2018-08-14,0.8,Extracellular,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-14,0.1,Extracellular,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-17,2.8,Extracellular,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-17,0.8,Extracellular,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-17,0.1,Extracellular,112,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2018-08-21,0.1,Extracellular,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
