DOY,Group,total_biomass,grand_total_biomass,biomass_prop
240,Euglenophyte,0,6643.32,0
248,Cyanophyte,10744.46,12685.86,84.69634696
248,Chlorophyte,1355.97,12685.86,10.68882993
248,Chrysophyte,253.31,12685.86,1.996790127
248,Dinoflagellate,238.22,12685.86,1.877838791
248,Cryptophyte,58.58,12685.86,0.461773975
248,Diatom,35.32,12685.86,0.278420225
248,Euglenophyte,0,12685.86,0
260,Cyanophyte,4349.03,6547.54,66.42235099
260,Chlorophyte,1363.07,6547.54,20.81804769
260,Chrysophyte,406.35,6547.54,6.206147652
260,Cryptophyte,181.52,6547.54,2.772338924
260,Dinoflagellate,176.75,6547.54,2.699487136
260,Diatom,60.24,6547.54,0.920040198
260,Euglenophyte,10.58,6547.54,0.161587405
