Location,Depth,DOY,Cell_Density_L,Biomass_mg_m3,Length_um,Width_um,Cell_Volume_um3,Description_Code,Genus,Species,name_code
Buffalo Pound,0.8,212,384000,52.72,6.4,6.4,137.3,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,212,0,0,0,0,0,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,220,39000,22.97,10.4,10.4,589,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,220,1373000,188.51,6.4,6.4,137.3,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,220,0,0,0,0,0,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,221,0,0,0,0,0,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,221,437000,60,6.4,6.4,137.3,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,221,0,0,0,0,0,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,229,0,0,0,0,0,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,229,13000,1.7,6.3,6.3,130.9,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,229,0,0,0,0,0,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,233,0,0,0,0,0,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,233,33000,4.32,6.3,6.3,130.9,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,233,0,0,0,0,0,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,235,0,0,0,0,0,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,235,7000,0.87,6.2,6.2,124.8,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,235,0,0,0,0,0,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,248,0,0,0,0,0,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,248,14000,1.83,6.3,6.3,130.9,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,248,0,0,0,0,0,HETEROCYT,Dolichospermum,solitaria,Dol.sol
Buffalo Pound,0.8,260,0,0,0,0,0,HETEROCYT,Dolichospermum,crassa,Dol.cra
Buffalo Pound,0.8,260,3000,0.39,6.3,6.3,130.9,HETEROCYT,Dolichospermum,flos-aquae,Dol.flo
Buffalo Pound,0.8,260,0,0,0,0,0,HETEROCYT,Dolichospermum,solitaria,Dol.sol
