DOY,Group,total_biomass,grand_total_biomass,biomass_prop
149,Chlorophyte,8.76,490.81,1.784804711
149,Chrysophyte,75.3,490.81,15.3419857
149,Cryptophyte,338.27,490.81,68.92076364
149,Cyanophyte,4,490.81,0.81497932
149,Diatom,59.77,490.81,12.17782849
149,Dinoflagellate,4.71,490.81,0.959638149
149,Euglenophyte,0,490.81,0
154,Chlorophyte,27.15,495.14,5.483297653
154,Chrysophyte,182.15,495.14,36.78757523
154,Cryptophyte,213.7,495.14,43.15951044
154,Cyanophyte,15.74,495.14,3.178898897
154,Diatom,49.7,495.14,10.03756513
154,Dinoflagellate,6.7,495.14,1.353152644
154,Euglenophyte,0,495.14,0
163,Chlorophyte,22.49,1430.38,1.572309456
163,Chrysophyte,120.06,1430.38,8.393573736
163,Cryptophyte,184.07,1430.38,12.86860834
163,Cyanophyte,1030.28,1430.38,72.02841203
163,Diatom,9.96,1430.38,0.696318461
163,Dinoflagellate,60.32,1430.38,4.217061201
163,Euglenophyte,3.2,1430.38,0.223716775
170,Chlorophyte,11.06,123.62,8.946772367
170,Chrysophyte,15.65,123.62,12.65976379
170,Cryptophyte,62.05,123.62,50.19414334
170,Cyanophyte,30.36,123.62,24.55913283
170,Diatom,4.5,123.62,3.640187672
170,Dinoflagellate,0,123.62,0
170,Euglenophyte,0,123.62,0
186,Chlorophyte,152.64,2554.38,5.97561835
186,Chrysophyte,201.21,2554.38,7.877058229
186,Cryptophyte,37.02,2554.38,1.449275362
186,Cyanophyte,1922.59,2554.38,75.26640516
186,Diatom,99.36,2554.38,3.889789303
186,Dinoflagellate,140.07,2554.38,5.48352242
186,Euglenophyte,1.49,2554.38,0.05833118
191,Chlorophyte,41.77,12587.13,0.331846894
191,Chrysophyte,128.89,12587.13,1.023982433
191,Cryptophyte,374.47,12587.13,2.9750229
191,Cyanophyte,11919.83,12587.13,94.6985532
191,Diatom,21.64,12587.13,0.171921637
191,Dinoflagellate,100.53,12587.13,0.79867293
191,Euglenophyte,0,12587.13,0
198,Chlorophyte,0.2,45.81,0.436585898
198,Chrysophyte,1.34,45.81,2.925125518
198,Cryptophyte,1.2,45.81,2.61951539
198,Cyanophyte,41.02,45.81,89.54376774
198,Diatom,2.05,45.81,4.475005457
198,Dinoflagellate,0,45.81,0
198,Euglenophyte,0,45.81,0
210,Chlorophyte,89.11,9497.89,0.938208381
210,Chrysophyte,316.06,9497.89,3.327686465
210,Cryptophyte,154.11,9497.89,1.622570908
210,Cyanophyte,6755.17,9497.89,71.12284939
210,Diatom,122.55,9497.89,1.290286579
210,Dinoflagellate,2060.89,9497.89,21.69839828
210,Euglenophyte,0,9497.89,0
219,Chlorophyte,236.29,17944.26,1.316799913
219,Chrysophyte,314.31,17944.26,1.751590759
219,Cryptophyte,77.89,17944.26,0.434066381
219,Cyanophyte,15956.56,17944.26,88.9229202
219,Diatom,353.9,17944.26,1.972218414
219,Dinoflagellate,1005.31,17944.26,5.602404334
219,Euglenophyte,0,17944.26,0
227,Chlorophyte,256.54,7331.86,3.498975703
227,Chrysophyte,103.84,7331.86,1.416284544
227,Cryptophyte,82.21,7331.86,1.121270728
227,Cyanophyte,5846.33,7331.86,79.73870205
227,Diatom,339.22,7331.86,4.62665681
227,Dinoflagellate,703.72,7331.86,9.598110166
227,Euglenophyte,0,7331.86,0
233,Chlorophyte,186.73,15555.21,1.20043381
233,Chrysophyte,175.42,15555.21,1.127725052
233,Cryptophyte,182.3,15555.21,1.171954606
233,Cyanophyte,4619.13,15555.21,29.6950668
233,Diatom,1343.84,15555.21,8.639163341
233,Dinoflagellate,9047.79,15555.21,58.16565639
233,Euglenophyte,0,15555.21,0
242,Chlorophyte,429.07,6007.23,7.142559882
242,Chrysophyte,595.35,6007.23,9.910557778
242,Cryptophyte,84.71,6007.23,1.410134122
242,Cyanophyte,1464.89,6007.23,24.38544887
242,Diatom,2766.49,6007.23,46.0526732
242,Dinoflagellate,653.45,6007.23,10.87772567
242,Euglenophyte,13.27,6007.23,0.220900482
246,Chlorophyte,2326.47,17187.83,13.53556557
246,Chrysophyte,428.22,17187.83,2.491413983
246,Cryptophyte,79.23,17187.83,0.460965695
246,Cyanophyte,10079.21,17187.83,58.64155045
246,Diatom,3560.61,17187.83,20.71587862
246,Dinoflagellate,703.72,17187.83,4.094292299
246,Euglenophyte,10.37,17187.83,0.060333387
256,Chlorophyte,2615.62,15883.05,16.46799576
