DOY,Group,total_biomass,grand_total_biomass,biomass_prop
256,Chrysophyte,1.33,15883.05,0.008373707
256,Cryptophyte,50.28,15883.05,0.316563884
256,Cyanophyte,10499.03,15883.05,66.10210256
256,Diatom,2639.85,15883.05,16.62054832
256,Dinoflagellate,33.51,15883.05,0.210979629
256,Euglenophyte,43.43,15883.05,0.273436147
260,Chlorophyte,974.58,10038.7,9.708229153
260,Chrysophyte,20.6,10038.7,0.205205853
260,Cryptophyte,43.23,10038.7,0.430633449
260,Cyanophyte,7006.45,10038.7,69.79439569
260,Diatom,1928.34,10038.7,19.20906093
260,Dinoflagellate,33.51,10038.7,0.333808162
260,Euglenophyte,31.99,10038.7,0.31866676
269,Chlorophyte,2452.64,16814.65,14.58632799
269,Chrysophyte,187.15,16814.65,1.113017517
269,Cryptophyte,95.88,16814.65,0.570217043
269,Cyanophyte,13460.73,16814.65,80.05358423
269,Diatom,563.59,16814.65,3.351779549
269,Dinoflagellate,33.51,16814.65,0.1992905
269,Euglenophyte,21.15,16814.65,0.125783171
276,Chlorophyte,1129.26,21122.37,5.346275063
276,Chrysophyte,212.63,21122.37,1.00665787
276,Cryptophyte,26.85,21122.37,0.127116417
276,Cyanophyte,19259.68,21122.37,91.18143466
276,Diatom,282.52,21122.37,1.337539301
276,Dinoflagellate,201.06,21122.37,0.95188182
276,Euglenophyte,10.37,21122.37,0.04909487
