DOY,Genus,Genus_Biomass,total_biomass
149,Dolichospermum,2.64,716.8199999999999
149,Planktothrix,1.66,716.8199999999999
158,Dolichospermum,30.86,183.37
158,Planktothrix,0,183.37
164,Dolichospermum,294.75,691.13
164,Planktothrix,5.86,691.13
170,Dolichospermum,2424.72,3826.27
170,Planktothrix,290.31,3826.27
172,Dolichospermum,948.98,1464.32
172,Planktothrix,21.66,1464.32
176,Dolichospermum,388.71,2197.33
176,Planktothrix,303.3,2197.33
184,Dolichospermum,2138.87,4119.66
184,Planktothrix,605.15,4119.66
187,Dolichospermum,4188.42,9319.53
187,Planktothrix,2034.18,9319.53
190,Dolichospermum,4399.55,9333.710000000001
190,Planktothrix,3548.55,9333.710000000001
193,Dolichospermum,921.63,3041.02
193,Planktothrix,1610.2,3041.02
197,Dolichospermum,1249.95,13501.240000000002
197,Planktothrix,9496.28,13501.240000000002
199,Dolichospermum,502.44,8404.02
199,Planktothrix,4919.25,8404.02
205,Dolichospermum,28.99,8985.01
205,Planktothrix,6173.59,8985.01
206,Dolichospermum,32.7,3333.9700000000003
206,Planktothrix,2463.92,3333.9700000000003
211,Dolichospermum,262.1,8923.06
211,Planktothrix,6397.4,8923.06
212,Dolichospermum,1158.71,6993.96
212,Planktothrix,4289.33,6993.96
220,Dolichospermum,3963.27,10287.72
220,Planktothrix,4406.98,10287.72
221,Dolichospermum,1406.09,8205.96
221,Planktothrix,3530.56,8205.96
226,Dolichospermum,0,3883.36
226,Planktothrix,1163.49,3883.36
229,Dolichospermum,44.48,4752.83
229,Planktothrix,1863.14,4752.83
233,Dolichospermum,102.87,3950.09
233,Planktothrix,1774.74,3950.09
235,Dolichospermum,13.79,4441.61
235,Planktothrix,1961.77,4441.61
240,Dolichospermum,0,6643.32
240,Planktothrix,5040.24,6643.32
248,Dolichospermum,64.42,12685.86
248,Planktothrix,10427.83,12685.86
260,Dolichospermum,4.16,6547.54
260,Planktothrix,4039.96,6547.54
